verb;form;century;dialect_area;dialect;synt_function;genre;textart;text_nr
kommen;no;xiv;oberdt;Mittelbayrisch;pf;written;kirchlich-teologischer.fachtext;111
kommen;no;xiv;oberdt;Mittelbayrisch;konj;written;kirchlich-teologischer.fachtext;111
kommen;no;xv;oberdt;Mittelbayrisch;pf;written;Chronikalischer.und.Berichtstext;113
kommen;no;xv;oberdt;Mittelbayrisch;konj;written;Chronikalischer.und.Berichtstext;113
kommen;no;xv;oberdt;Mittelbayrisch;adv;written;Chronikalischer.und.Berichtstext;113
kommen;no;xv;oberdt;Mittelbayrisch;pf;written;Chronikalischer.und.Berichtstext;113
kommen;no;xv;oberdt;Mittelbayrisch;pf;written;Chronikalischer.und.Berichtstext;113
kommen;no;xv;oberdt;Mittelbayrisch;konj;written;Chronikalischer.und.Berichtstext;113
kommen;no;xvi;oberdt;Mittelbayrisch;adj;written;Chronikalischer.und.Berichtstext;115
kommen;no;xvi;oberdt;Mittelbayrisch;pf;written;Chronikalischer.und.Berichtstext;115
kommen;no;xvii;oberdt;Mittelbayrisch;pf;oral;Erbaulicher.Text;117
kommen;no;xvii;oberdt;Mittelbayrisch;pf;oral;Erbaulicher.Text;117
kommen;no;xvii;oberdt;Mittelbayrisch;adv;oral;Erbaulicher.Text;117
kommen;no;xvii;oberdt;Mittelbayrisch;pf;oral;Erbaulicher.Text;117
kommen;no;xvii;oberdt;Mittelbayrisch;pf;oral;Erbaulicher.Text;117
kommen;no;xv;oberdt;Schwaebisch;pf;written;schoene.Literatur;123
kommen;no;xv;oberdt;Schwaebisch;pf;written;schoene.Literatur;123
kommen;no;xv;oberdt;Schwaebisch;pf;written;schoene.Literatur;123
kommen;no;xv;oberdt;Schwaebisch;pf;written;schoene.Literatur;123
kommen;no;xv;oberdt;Schwaebisch;adv;written;schoene.Literatur;123
kommen;no;xvi;oberdt;Schwaebisch;pf;oral;Rechts.und.Geschaeftstext;125
kommen;no;xvi;oberdt;Schwaebisch;pf;oral;Rechts.und.Geschaeftstext;125
kommen;no;xvi;oberdt;Schwaebisch;pf;oral;Rechts.und.Geschaeftstext;125
kommen;no;xvi;oberdt;Schwaebisch;pf;oral;Rechts.und.Geschaeftstext;125
kommen;no;xvi;oberdt;Schwaebisch;konj;oral;Rechts.und.Geschaeftstext;125
kommen;no;xvii;oberdt;Schwaebisch;pf;written;Chronikalischer.und.Berichtstext;127
kommen;no;xvii;oberdt;Schwaebisch;pf;written;Chronikalischer.und.Berichtstext;127
kommen;no;xvii;oberdt;Schwaebisch;konj;written;Chronikalischer.und.Berichtstext;127
kommen;no;xiv;ostmdt;Obersaechsisch;konj;oral;Erbaulicher.Text;141
kommen;no;xvi;ostmdt;Obersaechsisch;pf;written;kirchlich-teologischer.fachtext;145
kommen;no;xvi;ostmdt;Obersaechsisch;pf;written;kirchlich-teologischer.fachtext;145
kommen;no;xvi;ostmdt;Obersaechsisch;pf;written;kirchlich-teologischer.fachtext;145
kommen;no;xvii;ostmdt;Obersaechsisch;konj;written;schoene.Literatur;147
kommen;no;xvii;ostmdt;Obersaechsisch;pf;written;schoene.Literatur;147
kommen;no;xvii;ostmdt;Obersaechsisch;pf;written;schoene.Literatur;147
kommen;no;xvii;ostmdt;Obersaechsisch;pf;written;schoene.Literatur;147
kommen;no;xiv;westmdt;Ripuarisch (Koeln);pf;written;Chronikalischer.und.Berichtstext;151
kommen;no;xiv;westmdt;Ripuarisch (Koeln);konj;written;Chronikalischer.und.Berichtstext;151
kommen;no;xiv;westmdt;Ripuarisch (Koeln);pf;written;Chronikalischer.und.Berichtstext;151
